ra,dec,mag,ci,proper,hip,spect,gl
0.0003,38.8593,6.61,-0.019,,3,B9,
0.0032,-0.3604,7.25,1.2,,14,K0,
0.0036,38.304,6.53,0.955,,19,G5,
0.0053,-44.2906,6.28,0.763,,25,G3IV,
0.0066,26.9181,6.43,0.514,,34,F7.5IV-V,
0.0086,59.5597,6.18,1.032,,43,G9III-IV,
0.0095,-53.0977,6.49,0.616,,50,G1IV,
0.0116,62.1759,7.05,0.52,,58,G0,
0.0121,45.2533,6.36,-0.047,,63,B9p SiEu,
0.0147,66.848,6.9,1.446,,73,K2,
0.0179,-48.8099,5.71,0.911,,88,G8III,
0.0211,60.3553,7.04,2.835,,99,C5p,
0.0214,-41.4874,7.05,1.55,,102,M1III,
0.022,49.9816,6.22,0.97,,106,G7II-III,
0.0223,-50.3374,5.53,1.615,,107,M2III,
0.0231,6.7915,7.23,0.388,,109,F0,
0.026,44.6754,6.82,1.071,,119,K0,
0.0264,28.4237,6.83,1.197,,121,K2III,
0.0266,-77.0657,4.78,1.254,,122,K2III,
0.0267,72.2366,7.21,1.169,,123,K0,
0.0269,61.2228,5.58,0.407,,124,F0III,
0.0276,73.6118,6.5,0.182,,128,Am...,
0.0282,-40.1487,6.62,0.545,,133,F5IV,
0.0286,24.2531,6.6,1.153,,136,K2III-IV,
0.0288,42.3671,6.25,-0.042,,137,B9IIIp Mn,
0.0304,-3.0275,5.13,-0.128,,145,B7III-IV,
0.032,-37.23,7.04,1.06,,150,K1III,GJ 4388
0.0327,-6.0141,4.37,1.631,,154,M3III,
0.0334,-37.9019,7.09,0.999,,158,K0III,
0.0341,-2.7662,6.93,0.292,,159,A3,
0.0361,27.0823,5.8,0.69,,171,G3V,Gl 914A
0.038,-13.4074,6.9,0.534,,179,G0V,
0.0383,60.7032,6.77,1.832,,181,M0,
0.0389,-29.7204,5.04,-0.15,,183,B4V,
0.04,8.9568,6.33,0.182,,186,A6V,
0.0416,8.4855,5.7,0.315,,194,F0V,
0.0423,16.2566,7.24,0.074,,199,A0,
0.0434,66.099,5.87,1.073,,207,G8III,
0.044,66.1004,7.2,0.085,,209,A2V,
0.0464,2.1302,7.17,0.617,,223,G0,
0.0493,-20.0459,6.25,0.526,,238,F6/F7V,
0.0522,-24.1451,6.46,1.176,,253,K1III,
0.0523,42.7479,6.73,0.051,,254,A2,
0.0537,17.5523,6.59,1.122,,258,K0,
0.0571,63.6405,6.24,0.332,,274,B3Ia,
0.0573,-36.2512,6.96,0.353,,277,F2V,
0.0616,48.4369,6.8,0.06,,297,A2,
0.0623,-17.336,4.55,-0.047,,301,B9IVn,
0.0643,66.7122,6.31,1.629,,302,M4,
0.0656,14.3789,7.09,0.303,,308,F0,
0.07,-30.1349,7.09,-0.085,,328,B8V,
0.0705,62.2877,5.9,0.274,,330,A1III,
0.0722,-16.529,5.78,1.084,,343,K0III,
0.0723,-29.2688,6.38,0.006,,345,A1V,
0.075,-10.5095,4.99,1.619,,355,K3Ibvar,
0.0768,42.0925,6.11,0.159,,365,B9III,
0.0773,-51.5833,7.13,1.26,,370,K1III,
0.0778,34.2651,7.02,1.1,,374,K0,
0.0781,-71.4369,5.59,-0.1,,377,B8III,
0.0783,67.1664,5.68,1.051,,379,K1III,
0.0816,34.6598,6.09,0.632,,394,G2V,GJ 3002
0.0819,58.5322,6.61,0.025,,398,B3V,
0.0822,26.6488,6.25,1.368,,399,K4IIIb,
0.0837,27.6748,6.47,0.946,,410,G8II,
0.0844,-0.503,6.32,1.099,,417,G9III:,
0.085,61.314,5.8,-0.067,,418,B8MNp...,
0.086,45.229,6.71,0.068,,424,A1Vn,
0.0862,-32.4687,7.1,1.128,,430,K1III,
0.0869,35.571,6.88,0.174,,432,A2,
0.0889,68.8844,7.08,-0.006,,440,B9,
0.0889,-38.8572,6.93,0.94,,441,G8III/IV,
0.0889,-5.7076,4.61,1.029,,443,K1III,
0.0895,3.6061,6.91,1.12,,448,G5,
0.0912,-7.6654,6.97,1.444,,458,K5,
0.092,-9.6175,7.13,0.446,,462,F5,
0.093,53.1717,7.23,1.174,,466,K0,
0.0944,55.7099,6.99,1.187,,472,K0III,
0.095,13.3963,5.55,0.901,,476,G5III,
0.0991,24.569,6.9,1.564,,496,K5,
0.1001,28.2769,6.62,1.531,,502,K5III,
0.1012,40.4185,6.65,0.912,,508,G5,
0.1044,58.4367,5.98,0.687,,518,G5V,Gl 4.1A
0.1053,-49.0752,5.7,0.519,,522,G1IV...,Gl 4.2A
0.1056,40.8987,6.93,1.086,,525,K0,
0.1074,64.1962,5.57,-0.023,,531,B9III,
0.1099,28.5534,6.68,0.986,,540,G9III,
0.1102,29.0215,6.07,0.752,,544,K0V,Gl 5
0.1139,-23.1075,6.19,0.386,,560,F2IV,
0.1148,-38.8777,6.91,1.123,,567,K0III,
0.1217,-17.387,6.2,0.133,,602,A2IV/V,
0.1229,-25.3566,7.06,0.463,,606,F5V,
0.1264,31.669,6.87,1.124,,619,G5,
0.1272,40.148,6.73,0.951,,626,G5,
0.128,-65.9324,6.83,1.158,,631,K1/K2III,
0.1289,-2.5487,6.43,-0.146,,635,B8IIIsp...,
0.1297,-22.5086,5.93,0.141,,636,A1V,
0.1334,-78.5988,7.18,0.156,,648,A3V,
0.1338,31.3912,7.12,0.184,,652,A5,
0.1343,-33.5293,5.67,1.119,,655,K1III,
0.1367,-2.4477,6.18,1.366,,664,K2III,
0.1379,-14.8245,7.04,0.624,,669,G2/G3V,
0.1382,-8.8241,5.99,1.034,,671,G8III:,
0.1398,29.0904,2.07,-0.038,Alpheratz,677,B9p,
0.1425,63.204,6.41,0.998,,695,G3II,
0.1426,-17.5782,6.11,1.664,,696,M0/M1IIICNp,
0.1447,36.6271,6.21,0.504,,699,F8IV,Gl 6
0.1453,-2.2226,7.05,0.963,,700,G5,
0.1472,40.4945,6.82,1.568,,714,K5,
0.1478,25.463,6.24,0.976,,716,K0III,
0.1482,-22.1795,7.13,1.64,,720,M2III,
0.1498,-21.2064,7.21,1.087,,724,K0III,
0.15,28.2475,6.47,0.242,,728,A4Vm,
0.1507,18.212,5.57,1.043,,729,G9III,
0.1507,-54.0019,6.32,0.738,,730,G4IV...,
0.151,40.8429,6.93,0.8,,737,G5,
0.1512,19.9247,7.11,0.476,,740,F5,
0.1524,-50.1668,7.05,-0.122,,744,B5V,
0.1529,59.1498,2.28,0.38,Caph,746,F2III-IV,Gl 8
0.1546,65.0709,7.02,0.932,,755,K0,
0.1554,17.5339,7.07,0.644,,759,G2III,
0.1555,79.7145,6.01,0.203,,760,A7IV,
0.1559,-27.9879,5.42,0.414,,761,F3V,
0.1568,-45.7474,3.88,1.013,,765,K0III,Gl 9.1
